Tournament Round 1 (seed=0, 1 game per agent vs test_melon_maxxer)

Agent                                  W    L    T  Avg $challenger   Avg $melon
--------------------------------------------------------------------------------
wheat_grinder                          0    1    0             3002        21435
carrot_sprinter                        0    1    0             2684        21435
melon_baron                            0    1    0             2532        21407
tomato_perennial                       0    1    0             2731        21435
strawberry_hedge                       0    1    0             2561        21435
egg_factory                            0    1    0              900        21435
milk_machine                           0    1    0             1100        21435
wool_weaver                            0    1    0             1200        21435
wheat_feeder                           0    1    0             3036        21435
fertilizer_seller                      0    1    0             1200        21435
wheat_melon_alternator                 0    1    0             3421        21407
carrot_tomato_relay                    0    1    0             2644        21435
melon_strawberry_pair                  0    1    0             3347        21407
wheat_flood_timing                     0    1    0             3002        21435
early_bird_melon                       0    1    0             3902        21407
goose_wheat_dual                       0    1    0             1500        21435
tomato_fertilizer_max                  0    1    0             2511        21435
ne_quadrant_expander                   0    1    0             1757        21435
late_strawberry_spike                  0    1    0             1770        21435
carrot_wheat_watcher                   0    1    0                4        21435
goose_fertilizer_melon                 0    1    0             1760        21447
cow_milk_drip                          0    1    0             2179        21435
three_crop_rotation                    0    1    0             4300        21252
sheep_wool_wheat                       0    1    0             1539        21435
strawberry_egg_cafe                    0    1    0             1760        21447
land_baron                             0    1    0                0        21435
melon_goose_portfolio                  0    1    0             1890        21447
shop_responsive                        0    1    0                0        21435
fertilizer_arbitrageur                 0    1    0              840        21447
opponent_mirror                        0    1    0             2926        21435
melon_price_sniper                     0    1    0             4240        21252
adaptive_income                        0    1    0              892        21435
town_demand_predictor                  0    1    0             1159        21447
price_momentum_seller                  0    1    0             4399        21252
compound_goose_empire                  0    1    0              270        21435
nearest_task_greedy                    0    1    0                0        21435
dual_quadrant_melon                    0    1    0                0        21252
wheat_egg_steady                       0    1    0             2270        21435
late_cash_surge                        0    1    0             1520        21447
opponent_money_watcher                 0    1    0             4399        21252
staggered_melon_pipeline               0    1    0             4369        21252
carrot_rush_to_melon                   0    1    0             2570        21407
four_hand_wheat_blitz                  0    1    0                1        21435
melon_micro_seller                     0    1    0             1830        21435
fertilized_wheat_geese                 0    1    0             2820        21435
day6_melon_planter                     0    1    0             4185        21407
tomato_two_wave                        0    1    0             2881        21435
goose_snowball                         0    1    0              720        21435
wheat_tomato_split                     0    1    0             2969        21435
melon_bail_out                         0    1    0             4399        21252
melon_maxxer                           0    1    0             6064        21165
strawberry_maxxer                      0    1    0             8359        21435
tomato_maxxer                          0    1    0             5940        21435
